2026-04-11 11:11:02,841 | INFO | Loading training data...
2026-04-11 11:11:11,752 | INFO | Raw windows: (4320, 30, 2500)
2026-04-11 11:11:11,753 | INFO | Extracting enhanced features for SVM...
2026-04-11 11:36:46,878 | INFO | SVM features: (4320, 570)
2026-04-11 11:36:46,879 | INFO | ============================================================
2026-04-11 11:36:46,879 | INFO | SVM grid: feature_set=enhanced, C=0.1, gamma=scale
2026-04-11 11:36:46,879 | INFO | Seed 42, n_eval_subjects=10
2026-04-11 11:37:13,897 | INFO |   [1/10] DEP1003: acc=0.5000
2026-04-11 11:37:39,952 | INFO |   [2/10] DEP1030: acc=0.5000
2026-04-11 11:38:05,233 | INFO |   [3/10] DEP1032: acc=0.6806
2026-04-11 11:38:30,854 | INFO |   [4/10] HC1003: acc=0.5139
2026-04-11 11:38:56,300 | INFO |   [5/10] HC1011: acc=0.7222
2026-04-11 11:39:21,743 | INFO |   [6/10] HC1014: acc=0.5278
2026-04-11 11:39:48,476 | INFO |   [7/10] HC1017: acc=0.9861
2026-04-11 11:40:14,206 | INFO |   [8/10] HC1025: acc=0.8056
2026-04-11 11:40:38,097 | INFO |   [9/10] HC1035: acc=0.8056
2026-04-11 11:41:02,033 | INFO |   [10/10] HC1054: acc=0.6250
2026-04-11 11:41:02,034 | INFO | LOSO Mean Accuracy: 0.6667 (66.67%), std=0.1561
2026-04-11 11:41:02,035 | INFO | SVM grid result: C=0.1, gamma=scale, mean=0.6667, std=0.0000
2026-04-11 11:41:02,035 | INFO | ============================================================
2026-04-11 11:41:02,035 | INFO | SVM grid: feature_set=enhanced, C=0.1, gamma=0.001
2026-04-11 11:41:02,035 | INFO | Seed 42, n_eval_subjects=10
2026-04-11 11:41:25,455 | INFO |   [1/10] DEP1003: acc=0.5000
2026-04-11 11:41:48,949 | INFO |   [2/10] DEP1030: acc=0.5000
2026-04-11 11:42:15,570 | INFO |   [3/10] DEP1032: acc=0.6806
2026-04-11 11:42:40,639 | INFO |   [4/10] HC1003: acc=0.5139
2026-04-11 11:43:05,412 | INFO |   [5/10] HC1011: acc=0.7222
2026-04-11 11:43:30,581 | INFO |   [6/10] HC1014: acc=0.5278
2026-04-11 11:43:57,462 | INFO |   [7/10] HC1017: acc=0.9861
2026-04-11 11:44:24,055 | INFO |   [8/10] HC1025: acc=0.7778
2026-04-11 11:44:50,750 | INFO |   [9/10] HC1035: acc=0.8056
2026-04-11 11:45:17,422 | INFO |   [10/10] HC1054: acc=0.6250
2026-04-11 11:45:17,422 | INFO | LOSO Mean Accuracy: 0.6639 (66.39%), std=0.1539
2026-04-11 11:45:17,423 | INFO | SVM grid result: C=0.1, gamma=0.001, mean=0.6639, std=0.0000
2026-04-11 11:45:17,423 | INFO | ============================================================
2026-04-11 11:45:17,424 | INFO | SVM grid: feature_set=enhanced, C=0.1, gamma=0.003
2026-04-11 11:45:17,424 | INFO | Seed 42, n_eval_subjects=10
2026-04-11 11:45:52,061 | INFO |   [1/10] DEP1003: acc=0.5000
2026-04-11 11:46:25,554 | INFO |   [2/10] DEP1030: acc=0.5000
2026-04-11 11:46:54,225 | INFO |   [3/10] DEP1032: acc=0.6944
2026-04-11 11:47:21,732 | INFO |   [4/10] HC1003: acc=0.5278
2026-04-11 11:47:47,142 | INFO |   [5/10] HC1011: acc=0.7222
2026-04-11 11:48:11,988 | INFO |   [6/10] HC1014: acc=0.5139
2026-04-11 11:48:37,404 | INFO |   [7/10] HC1017: acc=0.9722
2026-04-11 11:49:02,973 | INFO |   [8/10] HC1025: acc=0.8194
2026-04-11 11:49:29,528 | INFO |   [9/10] HC1035: acc=0.6806
2026-04-11 11:49:57,181 | INFO |   [10/10] HC1054: acc=0.5972
2026-04-11 11:49:57,182 | INFO | LOSO Mean Accuracy: 0.6528 (65.28%), std=0.1489
2026-04-11 11:49:57,184 | INFO | SVM grid result: C=0.1, gamma=0.003, mean=0.6528, std=0.0000
2026-04-11 11:49:57,185 | INFO | ============================================================
2026-04-11 11:49:57,185 | INFO | SVM grid: feature_set=enhanced, C=0.1, gamma=0.01
2026-04-11 11:49:57,185 | INFO | Seed 42, n_eval_subjects=10
2026-04-11 11:50:27,989 | INFO |   [1/10] DEP1003: acc=0.5000
2026-04-11 11:51:00,536 | INFO |   [2/10] DEP1030: acc=0.5000
2026-04-11 11:51:32,463 | INFO |   [3/10] DEP1032: acc=0.7222
2026-04-11 11:52:02,773 | INFO |   [4/10] HC1003: acc=0.5000
2026-04-11 11:52:31,367 | INFO |   [5/10] HC1011: acc=0.7083
2026-04-11 11:53:00,968 | INFO |   [6/10] HC1014: acc=0.4722
2026-04-11 11:53:30,590 | INFO |   [7/10] HC1017: acc=0.9028
2026-04-11 11:54:00,550 | INFO |   [8/10] HC1025: acc=0.7778
2026-04-11 11:54:35,713 | INFO |   [9/10] HC1035: acc=0.5000
2026-04-11 11:55:07,319 | INFO |   [10/10] HC1054: acc=0.5278
2026-04-11 11:55:07,319 | INFO | LOSO Mean Accuracy: 0.6111 (61.11%), std=0.1450
2026-04-11 11:55:07,324 | INFO | SVM grid result: C=0.1, gamma=0.01, mean=0.6111, std=0.0000
2026-04-11 11:55:07,324 | INFO | ============================================================
2026-04-11 11:55:07,324 | INFO | SVM grid: feature_set=enhanced, C=0.1, gamma=0.03
2026-04-11 11:55:07,324 | INFO | Seed 42, n_eval_subjects=10
2026-04-11 11:55:37,599 | INFO |   [1/10] DEP1003: acc=0.5000
2026-04-11 11:56:07,615 | INFO |   [2/10] DEP1030: acc=0.5000
2026-04-11 11:56:37,898 | INFO |   [3/10] DEP1032: acc=0.5000
2026-04-11 11:57:08,421 | INFO |   [4/10] HC1003: acc=0.5000
